,filename,i1,j1
0,output0_0_0,18,13
1,output0_0_1,16,10
2,output0_10_0,11,15
3,output0_10_1,10,18
4,output0_11_0,12,16
5,output0_11_1,9,18
6,output0_12_0,9,16
7,output0_12_1,10,18
8,output0_13_0,10,18
9,output0_13_1,9,16
10,output0_14_0,9,16
11,output0_14_1,9,16
12,output0_15_0,17,5
13,output0_15_1,9,18
14,output0_16_0,17,5
15,output0_16_1,10,18
16,output0_17_0,16,9
17,output0_17_1,17,13
18,output0_18_0,13,9
19,output0_18_1,16,13
20,output0_19_0,15,10
21,output0_19_1,9,8
22,output0_1_0,17,13
23,output0_1_1,16,15
24,output0_20_0,16,10
25,output0_20_1,8,8
26,output0_21_0,16,12
27,output0_21_1,8,14
28,output0_22_0,17,13
29,output0_22_1,10,13
30,output0_23_0,7,2
31,output0_23_1,10,13
32,output0_24_0,9,1
33,output0_24_1,8,14
34,output0_25_0,11,1
35,output0_25_1,8,14
36,output0_26_0,11,2
37,output0_26_1,7,14
38,output0_27_0,17,4
39,output0_27_1,5,11
40,output0_28_0,18,4
41,output0_28_1,5,11
42,output0_29_0,17,5
43,output0_29_1,5,10
44,output0_2_0,12,7
45,output0_2_1,18,13
46,output0_30_0,11,1
47,output0_30_1,5,11
48,output0_31_0,9,2
49,output0_31_1,5,14
50,output0_32_0,9,2
51,output0_32_1,5,14
52,output0_33_0,9,2
53,output0_33_1,5,14
54,output0_34_0,13,5
55,output0_34_1,18,9
56,output0_35_0,9,6
57,output0_35_1,6,7
58,output0_36_0,8,6
59,output0_36_1,6,7
60,output0_37_0,8,7
61,output0_37_1,6,7
62,output0_38_0,8,8
63,output0_38_1,8,7
64,output0_39_0,8,7
65,output0_39_1,9,2
66,output0_3_0,17,13
67,output0_3_1,18,13
68,output0_40_0,8,9
69,output0_40_1,7,5
70,output0_41_0,6,11
71,output0_41_1,6,11
72,output0_42_0,6,11
73,output0_42_1,6,6
74,output0_43_0,7,14
75,output0_43_1,1,7
76,output0_44_0,8,14
77,output0_44_1,8,7
78,output0_45_0,8,15
79,output0_45_1,1,7
80,output0_46_0,12,7
81,output0_46_1,2,10
82,output0_47_0,12,7
83,output0_47_1,6,7
84,output0_48_0,9,8
85,output0_48_1,8,7
86,output0_49_0,8,7
87,output0_49_1,8,7
88,output0_4_0,18,17
89,output0_4_1,18,17
90,output0_50_0,8,7
91,output0_50_1,8,8
92,output0_51_0,8,8
93,output0_51_1,6,11
94,output0_52_0,8,8
95,output0_52_1,6,11
96,output0_53_0,8,9
97,output0_53_1,6,11
98,output0_54_0,8,9
99,output0_54_1,6,14
100,output0_55_0,8,9
101,output0_55_1,7,14
102,output0_56_0,7,11
103,output0_56_1,8,14
104,output0_57_0,7,14
105,output0_57_1,8,14
106,output0_58_0,8,14
107,output0_58_1,5,14
108,output0_59_0,8,14
109,output0_59_1,6,15
110,output0_5_0,12,9
111,output0_5_1,18,17
112,output0_60_0,8,14
113,output0_60_1,5,15
114,output0_61_0,8,14
115,output0_61_1,10,13
116,output0_62_0,8,15
117,output0_62_1,10,13
118,output0_63_0,9,16
119,output0_63_1,10,13
120,output0_64_0,9,16
121,output0_64_1,8,14
122,output0_65_0,9,16
123,output0_65_1,15,10
124,output0_66_0,9,16
125,output0_66_1,14,3
126,output0_67_0,9,16
127,output0_67_1,15,12
128,output0_68_0,9,16
129,output0_68_1,12,7
130,output0_69_0,9,16
131,output0_69_1,12,7
132,output0_6_0,12,16
133,output0_6_1,18,17
134,output0_70_0,8,14
135,output0_70_1,14,9
136,output0_71_0,9,16
137,output0_71_1,14,9
138,output0_72_0,9,16
139,output0_72_1,14,10
140,output0_73_0,9,16
141,output0_73_1,14,10
142,output0_74_0,9,18
143,output0_74_1,14,12
144,output0_75_0,11,10
145,output0_75_1,12,13
146,output0_76_0,17,4
147,output0_76_1,12,12
148,output0_77_0,17,5
149,output0_77_1,14,17
150,output0_78_0,14,10
151,output0_78_1,12,15
152,output0_79_0,14,10
153,output0_79_1,13,17
154,output0_7_0,13,17
155,output0_7_1,18,17
156,output0_80_0,14,10
157,output0_80_1,13,17
158,output0_81_0,15,13
159,output0_81_1,14,12
160,output0_82_0,16,12
161,output0_82_1,13,17
162,output0_83_0,17,9
163,output0_83_1,13,18
164,output0_84_0,17,13
165,output0_84_1,13,13
166,output0_85_0,17,13
167,output0_85_1,13,17
168,output0_86_0,18,13
169,output0_86_1,13,17
170,output0_87_0,17,5
171,output0_87_1,9,16
172,output0_88_0,16,5
173,output0_88_1,9,16
174,output0_89_0,18,7
175,output0_89_1,9,18
176,output0_8_0,10,13
177,output0_8_1,18,17
178,output0_90_0,17,9
179,output0_90_1,9,16
180,output0_91_0,18,6
181,output0_91_1,11,5
182,output0_92_0,14,10
183,output0_92_1,12,7
184,output0_93_0,18,10
185,output0_93_1,11,7
186,output0_94_0,17,13
187,output0_94_1,11,8
188,output0_95_0,17,13
189,output0_95_1,8,9
190,output0_96_0,18,15
191,output0_96_1,11,10
192,output0_97_0,18,17
193,output0_97_1,6,11
194,output0_98_0,18,17
195,output0_98_1,13,13
196,output0_99_0,16,17
197,output0_99_1,10,13
198,output0_9_0,10,13
199,output0_9_1,18,18
200,output10_0_0,10,18
201,output10_0_1,14,10
202,output10_10_0,6,11
203,output10_10_1,14,13
204,output10_11_0,6,11
205,output10_11_1,15,10
206,output10_12_0,6,14
207,output10_12_1,15,12
208,output10_13_0,6,14
209,output10_13_1,15,12
210,output10_14_0,7,14
211,output10_14_1,16,17
212,output10_15_0,5,16
213,output10_15_1,6,6
214,output10_16_0,5,15
